Date,Pay Code,Hours,Wages,Associate UIK
9/7/2022,Regular,8,120.64,2727156
9/7/2022,Regular,8,258.49,2727832
9/7/2022,Regular,8,120.64,2727208
9/7/2022,Regular,8.15,146.21,2725570
9/7/2022,Regular,8.42,183.82,2726090
9/7/2022,Regular,8.9,175.86,2732213
9/7/2022,Regular,8,237.94,2736269
9/7/2022,Regular,8.68,171.58,2736347
9/7/2022,Regular,11.6,220.4,2743042
9/7/2022,Regular,8.22,146.01,2725583
9/7/2022,Regular,7.87,121.38,2726766
9/7/2022,Regular,9.35,210.38,2726259
9/7/2022,Regular,8.13,121.51,2727221
9/7/2022,Regular,8.35,125.92,2727234
9/7/2022,Regular,10.63,239.25,2725739
9/7/2022,Regular,8.25,167.31,2726389
9/7/2022,PTO,8,384.62,2727845
9/7/2022,Regular,8,158.08,2725856
9/7/2022,Regular,7.7,150.69,2737036
9/7/2022,Regular,8,230.77,2726272
9/7/2022,Regular,8.83,204.05,2725921
9/7/2022,Regular,8.9,175.86,2729028
9/7/2022,Regular,8.17,178.36,2725960
9/7/2022,Regular,8.25,148.01,2725596
9/7/2022,Regular,8.15,186.47,2725986
9/7/2022,Regular,8.5,183.86,2725973
9/7/2022,Regular,8.1,121.01,2727247
9/7/2022,Regular,7.75,116.87,2726792
9/7/2022,Regular,8.62,170.52,2726298
9/7/2022,Regular,8,120.64,2726805
9/7/2022,Regular,8.95,195.47,2728989
9/7/2022,Regular,8.33,163.08,2727169
9/7/2022,Regular,8,121.84,2735034
9/7/2022,Regular,8.42,155.71,2742717
9/7/2022,Regular,8.18,155.48,2742288
9/7/2022,Regular,7.77,119.84,2726818
9/7/2022,Regular,8.17,159.25,2740637
9/7/2022,Regular,8,259.86,2725453
9/7/2022,Regular,9.02,178.17,2727702
9/7/2022,Regular,8.05,164.46,2702391
9/7/2022,PTO,8,156.56,2726623
9/7/2022,Regular,11.27,253.5,2737023
9/7/2022,Regular,8.62,155.1,2745551
9/7/2022,Regular,8.13,121.51,2727260
9/7/2022,Regular,8,230.77,2729041
9/7/2022,Regular,8.95,209.43,2726246
9/7/2022,Regular,4.43,85.79,2726350
9/7/2022,PTO,4,77.4,2726350
9/7/2022,Regular,8.13,170.8,2726415
9/7/2022,Regular,8.68,171.58,2726857
9/7/2022,Regular,8.17,155.17,2746448
9/7/2022,Regular,7.83,118.13,2726896
9/7/2022,Regular,8,357.69,2731004
9/7/2022,Regular,9.55,181.45,2687402
9/7/2022,Regular,8.5,249.9,2725492
9/7/2022,Regular,8.05,121.39,2726909
9/7/2022,PTO,8,223.08,2725869
9/7/2022,PTO,2,36.22,2736321
9/7/2022,Regular,6.27,113.49,2736321
9/7/2022,Regular,8.48,160.34,2726493
9/7/2022,Regular,8.12,145.61,2725752
9/7/2022,Regular,8,353.85,2729964
9/7/2022,Regular,8.75,172.9,2726597
9/7/2022,Regular,8,234.18,2726155
9/7/2022,Regular,8.68,176.1,2726545
9/7/2022,Regular,8.67,164.67,2745564
9/7/2022,Regular,8,120.64,2726948
9/7/2022,Regular,8.25,175.89,2726441
9/7/2022,Regular,8.6,168.3,2735086
9/7/2022,Regular,8.5,192.61,2726012
9/7/2022,Regular,8.57,169.28,2726129
9/7/2022,Regular,8.47,171.7,2726584
9/7/2022,Regular,8,120.64,2727286
9/7/2022,Regular,7.75,115.79,2727689
9/7/2022,Regular,8.47,248.92,2727676
9/7/2022,Regular,8,315.44,2727858
9/7/2022,Regular,8.27,156.49,2725401
9/7/2022,Regular,8,328.82,2727806
9/7/2022,Regular,8,123.44,2727312
9/7/2022,Regular,8,123.44,2727325
9/7/2022,PTO,8,120.64,2726935
9/7/2022,Regular,11.77,269.22,2726558
9/7/2022,Regular,8.32,244.51,2725479
9/7/2022,Regular,8.37,156.62,2736997
9/7/2022,Regular,0,0,2744719
9/7/2022,Regular,8.35,163.41,2725882
9/7/2022,Regular,8.93,169.73,2746864
9/7/2022,Regular,9.03,171.63,2741170
9/7/2022,Regular,8.12,122.4,2727338
9/7/2022,Regular,8.15,154.85,2742496
9/7/2022,Regular,8,199.84,2725427
9/7/2022,Regular,8.05,144.42,2725700
9/7/2022,Regular,8.17,123.15,2725531
9/7/2022,Regular,8,119.52,2726974
9/7/2022,Regular,7.82,117.88,2736334
9/7/2022,Regular,8,384.62,2735073
9/7/2022,Regular,8,346.15,2739168
9/7/2022,Regular,8.28,157.38,2743653
9/7/2022,Regular,8,119.52,2727429
9/7/2022,Regular,9.02,178.17,2726233
9/7/2022,Regular,8.25,148.01,2725648
9/7/2022,Regular,8.5,170,2744745
9/7/2022,Regular,12.02,237.45,2726402
9/7/2022,Regular,8.1,123.85,2727364
9/7/2022,Regular,8.1,153.9,2726987
9/7/2022,Regular,7.83,118.13,2726961
9/7/2022,Regular,9.88,149.04,2727000
9/7/2022,Regular,8.63,130.19,2725544
9/7/2022,Regular,8,120.64,2727715
9/7/2022,Regular,8.5,249.9,2725505
9/7/2022,Regular,8,178.08,2726168
9/7/2022,Regular,9.33,203.84,2726285
9/7/2022,Regular,8.5,161.5,2741157
9/7/2022,Regular,8.38,168.42,2726571
9/7/2022,Regular,8.02,154.32,2710048
9/7/2022,Regular,8.8,167.2,2741144
9/7/2022,Regular,8.75,163.8,2726480
9/7/2022,Regular,8,120.64,2727013
9/7/2022,Regular,8,515.38,2727728
9/7/2022,Regular,9.97,210.2,2725388
9/7/2022,Regular,8.25,148.01,2735021
9/7/2022,Regular,8,615.38,2727767
9/7/2022,Regular,8.12,122.4,2727403
9/7/2022,Regular,10.98,252.62,2741105
9/7/2022,Regular,8.4,183.46,2725908
9/7/2022,Regular,8.92,194.74,2726194
9/7/2022,Regular,8,152,2746461
9/7/2022,Regular,8.33,125.67,2727026
9/7/2022,Regular,8.83,176.23,2725557
9/7/2022,Regular,8.58,171.67,2742561
9/7/2022,Regular,8.17,151.08,2742548
9/7/2022,Regular,8,309.57,2727819
9/7/2022,Regular,8.45,175.84,2725609
9/7/2022,Regular,8.23,156.43,2746552
9/7/2022,Regular,8.3,126.41,2735047
9/7/2022,Unpaid Time Off,8,0,2746877
9/7/2022,Regular,8.25,158.15,2726454
9/7/2022,Regular,8.5,152.49,2727468
9/7/2022,Regular,7.77,116.03,2727052
9/7/2022,Regular,8.45,152.1,2745577
9/7/2022,Regular,8.4,155.4,2741079
9/7/2022,Regular,8.43,192.95,2726181
9/7/2022,Regular,8.1,146.69,2725661
