SKU ID ,Date,Volume
430011510,4/12/2021,"1,807"
426140779,4/12/2021,"1,967"
429587057,4/12/2021,289
429325058,4/12/2021,"2,705"
429325961,4/12/2021,"9,997"
426997339,4/12/2021,"2,459"
427001682,4/12/2021,"3,953"
426300051,4/12/2021,32
425721658,4/12/2021,227
426673119,4/12/2021,"3,709"
M4641000264,4/12/2021,"4,570"
429587057,4/13/2021,77
425721658,4/13/2021,133
426300051,4/13/2021,49
429325058,4/13/2021,3057
M4641000264,4/13/2021,3133
426997339,4/13/2021,7678
430011510,4/13/2021,3188
426140779,4/13/2021,2140
429325961,4/13/2021,8903
427001682,4/13/2021,3253
427073148,4/13/2021,52
430108002,4/14/2021,2169
429329444,4/14/2021,2039
429587057,4/14/2021,361
426300051,4/14/2021,48
M4641000264,4/14/2021,2440
430011510,4/14/2021,3371
429325961,4/14/2021,5468
429325058,4/14/2021,997
427073148,4/14/2021,8
430108002,4/15/2021,2982
429545046,4/15/2021,837
426300051,4/15/2021,49
M4641000264,4/15/2021,772
426997339,4/15/2021,2567
430011510,4/15/2021,5360
426140779,4/15/2021,1974
429325961,4/15/2021,5355
429329444,4/15/2021,1912
427072718,4/15/2021,107
430108002,4/16/2021,869
426300051,4/16/2021,41
429545046,4/16/2021,634
M4641000264,4/16/2021,4217
430011510,4/16/2021,4953
429325961,4/16/2021,2565
429329444,4/16/2021,3757
426140779,4/16/2021,4698
426997339,4/16/2021,1152
427072718,4/16/2021,81
M4641100264,4/12/2021,1278
428858809,4/13/2021,3126
430125245,4/13/2021,1680
M4641100264,4/13/2021,1982
430125245,4/14/2021,2461
M4641100264,4/14/2021,983
M4641100264,4/15/2021,1393
M4641100264,4/16/2021,1415
430011510,4/19/2021,1609
429325961,4/19/2021,2077
429325058,4/19/2021,2888
429008922,4/19/2021,2191
426997339,4/19/2021,2598
426300051,4/19/2021,48
427565068,4/19/2021,1950
426140779,4/19/2021,1593
M4641000264,4/19/2021,5832
428170035,4/19/2021,719
430108002,4/19/2021,1353
427566530,4/20/2021,3928
426300051,4/20/2021,34
429325058,4/20/2021,2668
M4641000264,4/20/2021,5424
426997339,4/20/2021,2269
429008922,4/20/2021,4593
430011510,4/20/2021,3528
426140779,4/20/2021,2394
430108002,4/20/2021,2284
429008578,4/21/2021,1865
426300051,4/21/2021,48
429325058,4/21/2021,2645
M4641000264,4/21/2021,6097
426997339,4/21/2021,2708
429008922,4/21/2021,3975
430011510,4/21/2021,3731
429325961,4/21/2021,2364
428170035,4/21/2021,881
430108002,4/21/2021,1758
429329444,4/22/2021,723
426673635,4/22/2021,4380
426300051,4/22/2021,32
429325058,4/22/2021,2893
M4641000264,4/22/2021,5412
430011510,4/22/2021,1511
429008578,4/22/2021,1735
429325961,4/22/2021,5440
429008922,4/22/2021,3641
426997339,4/22/2021,2646
430108002,4/22/2021,2434
426300051,4/23/2021,32
M4641000264,4/23/2021,7626
426673635,4/23/2021,1246
426997339,4/23/2021,2621
429325058,4/23/2021,2419
426140779,4/23/2021,3317
429325961,4/23/2021,1269
429329444,4/23/2021,1204
427566530,4/23/2021,1838
429368230,4/23/2021,3778
425963447,4/23/2021,1779
430108002,4/23/2021,896
M4641100264,4/19/2021,1185
M4641100264,4/20/2021,1539
M4641100264,4/21/2021,700
M4641100264,4/22/2021,731
429325058,4/26/2021,5453
